,Code région,Nom de la région,Code département,Code arrondissement départemental,Code canton,Code_commune,Nom de la commune,Population municipale,Population comptée à part,Population totale,Année recensement,Année utilisation,Code INSEE (commune ou arrondissement),Superficie de la commune,Statut,Code INSEE de la commune,Nom de la commune IGN,Nom du département IGN,Nom de la région.1,Code EPCI,Code EPCI.1,EPCI,Année
101,4,La Réunion,974,2,26,417,Saint-Philippe,5100,56,5156,1970-01-01 00:00:00.000002009,2012,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,,,,1970
102,4,La Réunion,974,3,33,421,Salazie,7294,72,7366,1970-01-01 00:00:00.000002008,2011,97421,103.82,Commune,97421,Salazie,LA REUNION,LA REUNION,,,,1970
103,4,La Réunion,974,4,36,423,Les Trois-Bassins,6994,97,7091,1970-01-01 00:00:00.000002008,2011,97423,42.48,Commune,97423,,,,,,,1970
104,4,La Réunion,974,2,1,401,Les Avirons,10580,150,10730,1970-01-01 00:00:00.000002010,2013,97401,26.23,Commune,97401,Les Avirons,LA REUNION,LA REUNION,,,,1970
105,4,La Réunion,974,3,2,402,Bras-Panon,11725,135,11860,1970-01-01 00:00:00.000002010,2013,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,,,,1970
106,4,La Réunion,974,2,98,416,Saint-Pierre,80356,888,81244,1970-01-01 00:00:00.000002011,2014,97416,96.32,Commune,97416,Saint-Pierre,LA REUNION,LA REUNION,,,,1970
107,4,La Réunion,974,2,8,417,Saint-Philippe,5115,52,5167,1970-01-01 00:00:00.000002015,2018,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
108,4,La Réunion,974,2,96,414,Saint-Louis,53220,612,53832,1970-01-01 00:00:00.000002016,2019,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,249740077.0,249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),1970
109,4,La Réunion,974,2,16,403,Entre-Deux,6519,70,6589,1970-01-01 00:00:00.000002013,2016,97403,51.37,Commune,97403,Entre-Deux,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
110,4,La Réunion,974,3,91,409,Saint-André,56156,415,56571,1970-01-01 00:00:00.000002013,2016,97409,54.28,Commune,97409,Saint-André,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
111,4,La Réunion,974,2,4,404,L' Étang-Salé,13179,194,13373,1970-01-01 00:00:00.000002007,2010,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,,,,1970
112,4,La Réunion,974,3,2,402,Bras-Panon,11028,111,11139,1970-01-01 00:00:00.000002006,2009,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,,,,1970
113,4,La Réunion,974,4,95,413,Saint-Leu,31837,389,32226,1970-01-01 00:00:00.000002011,2014,97413,118.08,Commune,97413,Saint-Leu,LA REUNION,LA REUNION,,,,1970
114,4,La Réunion,974,4,97,415,Saint-Paul,104332,1512,105844,1970-01-01 00:00:00.000002013,2016,97415,240.51,Commune,97415,Saint-Paul,LA REUNION,LA REUNION,249740101.0,249740101.0,CA Territoire de la Côte Ouest,1970
115,4,La Réunion,974,2,98,416,Saint-Pierre,80823,946,81769,1970-01-01 00:00:00.000002012,2015,97416,96.32,Commune,97416,Saint-Pierre,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
116,4,La Réunion,974,2,99,422,Le Tampon,76796,986,77782,1970-01-01 00:00:00.000002014,2017,97422,181.02,Commune,97422,Le Tampon,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
117,4,La Réunion,974,3,8,419,Sainte-Rose,6621,81,6702,1970-01-01 00:00:00.000002015,2018,97419,178.21,Commune,97419,Sainte-Rose,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
118,4,La Réunion,974,1,4,420,Sainte-Suzanne,23068,207,23275,1970-01-01 00:00:00.000002015,2018,97420,57.83,Commune,97420,Sainte-Suzanne,LA REUNION,LA REUNION,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion (Cinor),1970
119,4,La Réunion,974,3,90,410,Saint-Benoît,33187,287,33474,1970-01-01 00:00:00.000002006,2009,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,,,,1970
120,4,La Réunion,974,1,30,418,Sainte-Marie,30596,381,30977,1970-01-01 00:00:00.000002006,2009,97418,88.65,Commune,97418,,,,,,,1970
121,4,La Réunion,974,1,93,411,Saint-Denis,144238,1538,145776,1970-01-01 00:00:00.000002008,2011,97411,141.5,Commune,97411,Saint-Denis,LA REUNION,LA REUNION,,,,1970
122,4,La Réunion,974,2,94,412,Saint-Joseph,35062,431,35493,1970-01-01 00:00:00.000002008,2011,97412,177.85,Commune,97412,,,,,,,1970
123,4,La Réunion,974,3,92,409,Saint-André,51964,327,52291,1970-01-01 00:00:00.000002007,2010,97409,54.28,Commune,97409,Saint-André,LA REUNION,LA REUNION,,,,1970
124,4,La Réunion,974,1,93,411,Saint-Denis,142442,1440,143882,1970-01-01 00:00:00.000002013,2016,97411,141.5,Commune,97411,Saint-Denis,LA REUNION,LA REUNION,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion,1970
125,4,La Réunion,974,2,98,416,Saint-Pierre,81415,957,82372,1970-01-01 00:00:00.000002013,2016,97416,96.32,Commune,97416,Saint-Pierre,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
126,4,La Réunion,974,3,6,421,Salazie,7226,109,7335,1970-01-01 00:00:00.000002013,2016,97421,103.82,Commune,97421,Salazie,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
127,4,La Réunion,974,2,3,403,Entre-Deux,6285,94,6379,1970-01-01 00:00:00.000002011,2014,97403,51.37,Commune,97403,Entre-Deux,LA REUNION,LA REUNION,,,,1970
128,4,La Réunion,974,2,96,414,Saint-Louis,52523,548,53071,1970-01-01 00:00:00.000002011,2014,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,,,,1970
129,4,La Réunion,974,3,31,419,Sainte-Rose,6792,89,6881,1970-01-01 00:00:00.000002011,2014,97419,178.21,Commune,97419,Sainte-Rose,LA REUNION,LA REUNION,,,,1970
130,4,La Réunion,974,4,36,423,Les Trois-Bassins,7121,99,7220,1970-01-01 00:00:00.000002010,2013,97423,42.48,Commune,97423,,,,,,,1970
131,4,La Réunion,974,2,22,405,Petite-Île,11633,90,11723,1970-01-01 00:00:00.000002013,2016,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
132,4,La Réunion,974,3,92,410,Saint-Benoît,37738,332,38070,1970-01-01 00:00:00.000002014,2017,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (CIREST),1970
133,4,La Réunion,974,2,96,414,Saint-Louis,52803,647,53450,1970-01-01 00:00:00.000002014,2017,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
134,4,La Réunion,974,2,8,417,Saint-Philippe,5101,52,5153,1970-01-01 00:00:00.000002014,2017,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
135,4,La Réunion,974,4,91,407,Le Port,38609,272,38881,1970-01-01 00:00:00.000002009,2012,97407,16.16,Commune,97407,Le Port,LA REUNION,LA REUNION,,,,1970
